지점,지점명,일시,평균 이산화탄소 대기농도,평균 메탄 대기농도,평균 아산화질소 대기농도
132,안면도(감),1999,371.2,1861,314.6
132,안면도(감),2000,373.3,1858,314.9
132,안면도(감),2001,375.6,1851,316
132,안면도(감),2002,377.6,1862,318.3
132,안면도(감),2003,379.9,1874,319.4
132,안면도(감),2004,382.1,1872,
132,안면도(감),2005,384.3,1855,
132,안면도(감),2006,386.5,1866,321.7
132,안면도(감),2007,388.6,1890,321.9
132,안면도(감),2008,390.7,1889,322.7
132,안면도(감),2009,392.6,1900,323.8
132,안면도(감),2010,394.9,1901,324.9
132,안면도(감),2011,396.8,1907,324.2
132,안면도(감),2012,399.9,1919,326.5
132,안면도(감),2013,402.4,1931,326.1
132,안면도(감),2014,404.6,1941,325.8
132,안면도(감),2015,407,1952,329
132,안면도(감),2016,409.9,1965,330
132,안면도(감),2017,412.2,1970,331.4
132,안면도(감),2018,415.2,1974,332.9
132,안면도(감),2020,420.4,1998,335
132,안면도(감),2021,423.1,2005,336.1
132,안면도(감),2022,425,2011,338
